Nombre del producto,Marca,Precio actual,Precio anterior,Descuento,Imagen URL,Link al producto,Nombre del sitio
iPhone 13 Apple  128 GB Starlight Telcel,Apple,"$10,228.98","$13,297.95","Ahorra $3,068.97",https://i5.walmartimages.com.mx/samsmx/images/product-images/img_large/981027284l.jpg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.sams.com.mx/ip/iphone-13-apple-128-gb-starlight-telcel/981027284?from=/search,Sams
iPhone 13 Apple  128 GB Midnight Telcel,Apple,"$10,228.98","$13,294.10","Ahorra $3,065.12",https://i5.walmartimages.com.mx/samsmx/images/product-images/img_large/981026358l.jpg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.sams.com.mx/ip/iphone-13-apple-128-gb-midnight-telcel/981026358?from=/search,Sams
Smartphone Samsung Galaxy S24+ 256 GB Negro Onyx,Samsung,"$16,366.98","$24,550.97","Ahorra $8,183.99",https://i5.walmartimages.com.mx/samsmx/images/product-images/img_large/981017603l.jpg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.sams.com.mx/ip/smartphone-samsung-galaxy-s24-256-gb-negro-onyx/981017603?from=/search,Sams
iPhone 16e Apple  128 GB Blanco AT&T,Apple,"$13,297.95",,,https://i5.walmartimages.com.mx/samsmx/images/product-images/img_large/981034475l.jpg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.sams.com.mx/ip/iphone-16e-apple-128-gb-blanco-at-t/981034475?from=/search,Sams
Smartphone Samsung Galaxy S24 Ultra 256 GB Negro,Samsung,"$24,550.97",,,https://i5.walmartimages.com.mx/samsmx/images/product-images/img_large/981017606l.jpg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.sams.com.mx/ip/smartphone-samsung-galaxy-s24-ultra-256-gb-negro/981017606?from=/search,Sams
Smartphone Samsung Galaxy S24 Ultra 512 GB Negro,Samsung,"$19,435.98","$26,596.97","Ahorra $7,160.99",https://i5.walmartimages.com.mx/samsmx/images/product-images/img_large/981031322l.jpg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.sams.com.mx/ip/smartphone-samsung-galaxy-s24-ultra-512-gb-negro/981031322?from=/search,Sams
Smartphone Samsung Galaxy S23 128 GB Rosa Claro,Samsung,"$6,499.00","$13,733.61","Ahorra $7,234.61",https://i5.walmartimages.com.mx/samsmx/images/product-images/img_large/981028706l.jpg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.sams.com.mx/ip/smartphone-samsung-galaxy-s23-128-gb-rosa-claro/981028706?from=/search,Sams
Smartphone Samsung Galaxy  S25 Ultra 512 GB Gris Titanio,Samsung,"$36,826.97",,,https://i5.walmartimages.com.mx/samsmx/images/product-images/img_large/981031960l.jpg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.sams.com.mx/ip/smartphone-samsung-galaxy-s25-ultra-512-gb-gris-titanio/981031960?from=/search,Sams
Smartphone Samsung Galaxy S24+ 256 GB Gris Marmol,Samsung,"$16,366.98","$18,412.96","Ahorra $2,045.98",https://i5.walmartimages.com.mx/samsmx/images/product-images/img_large/981017601l.jpg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.sams.com.mx/ip/smartphone-samsung-galaxy-s24-256-gb-gris-marmol/981017601?from=/search,Sams
Smartphone Samsung Galaxy  S25 Ultra 512 GB Negro Titanio,Samsung,"$36,826.97",,,https://i5.walmartimages.com.mx/samsmx/images/product-images/img_large/981031948l.jpg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.sams.com.mx/ip/smartphone-samsung-galaxy-s25-ultra-512-gb-negro-titanio/981031948?from=/search,Sams
Smartphone Samsung Galaxy S24 Ultra 512 GB Gris,Samsung,"$19,435.98","$26,596.97","Ahorra $7,160.99",https://i5.walmartimages.com.mx/samsmx/images/product-images/img_large/981031652l.jpg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.sams.com.mx/ip/smartphone-samsung-galaxy-s24-ultra-512-gb-gris/981031652?from=/search,Sams
iPhone 15 Apple  128 GB Negro AT&T,Apple,"$15,999.00","$16,366.97",Ahorra $367.97,https://i5.walmartimages.com.mx/samsmx/images/product-images/img_large/981015021l.jpg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.sams.com.mx/ip/iphone-15-apple-128-gb-negro-at-t/981015021?from=/search,Sams
