Nombre del producto,Marca,Precio actual,Precio anterior,Descuento,Imagen URL,Link al producto,Nombre del sitio
Apple iPhone 16 (128 GB) - Blanco Dual Sim Física,Apple,"$14,999.00","$19,999.00","Ahorra $5,000.00",https://i5.walmartimages.com/asr/3e7b2722-fc9e-4d80-854d-3e81d5bc0d2a.3d15f2e81ce1d306ceb43777ecf6ec32.webp?odnHeight=226&odnWidth=226&odnBg=FFFFFF,https://www.walmart.com.mx/ip/destacados-celulares/apple-iphone-16-128-gb-blanco-dual-sim-fisica/00019594982207?athcpid=00019594982207&athpgid=ContentPage&athcgid=null&athznid=ItemCarousel_45ab2897-6967-47da-9a17-8f6c2661fd83_items&athieid=v0&athstid=CS020&athguid=lXQfQAEyxMVrCqFpdLIrQ6M8skfXhOi8gjze&athancid=null&athena=true&athbdg=L1300,Walmart
Smartphone Samsung Galaxy S25 Ultra 12GB RAM 512GB ROM Negro Titanio Desbloqueado,Samsung,"$35,999.00",,,https://i5.walmartimages.com/asr/c1832e9d-f2dc-48c0-aa0a-48acb5de87a7.bcabd7c6d7b2646a12e3f2f1ebc2a084.jpeg?odnHeight=226&odnWidth=226&odnBg=FFFFFF,https://www.walmart.com.mx/ip/smartphones/smartphone-samsung-galaxy-s25-ultra-12gb-ram-512gb-rom-negro-titanio-desbloqueado/00880609588181?athcpid=00880609588181&athpgid=ContentPage&athcgid=null&athznid=ItemCarousel_45ab2897-6967-47da-9a17-8f6c2661fd83_items&athieid=v0&athstid=CS020&athguid=lXQfQAEyxMVrCqFpdLIrQ6M8skfXhOi8gjze&athancid=null&athena=true&athbdg=L6000,Walmart
Apple iPhone 16 128 GB Negro,Apple,"$14,999.00","$19,999.00","Ahorra $5,000.00",https://i5.walmartimages.com/asr/2034eb3c-3714-4d54-8f8b-8053482af5ed.f3810787661240bc6c71dcf0679ec580.webp?odnHeight=226&odnWidth=226&odnBg=FFFFFF,https://www.walmart.com.mx/ip/destacados-celulares/apple-iphone-16-128-gb-negro/00019594982189?athcpid=00019594982189&athpgid=ContentPage&athcgid=null&athznid=ItemCarousel_45ab2897-6967-47da-9a17-8f6c2661fd83_items&athieid=v0&athstid=CS020&athguid=lXQfQAEyxMVrCqFpdLIrQ6M8skfXhOi8gjze&athancid=null&athena=true&athbdg=L1300,Walmart
Smartphone Samsung Galaxy S25 Plus 12GB RAM 512GB ROM Sombra Plateada Desbloqueado,Samsung,"$17,499.00","$28,999.00","Ahorra $11,500.00",https://i5.walmartimages.com.mx/mg/gm/1p/images/product-images/img_large/00880609586719l.jpg?odnHeight=226&odnWidth=226&odnBg=FFFFFF,https://www.walmart.com.mx/ip/smartphones/smartphone-samsung-galaxy-s25-plus-12gb-ram-512gb-rom-sombra-plateada-desbloqueado/00880609586719?athcpid=00880609586719&athpgid=ContentPage&athcgid=null&athznid=ItemCarousel_45ab2897-6967-47da-9a17-8f6c2661fd83_items&athieid=v0&athstid=CS020&athguid=lXQfQAEyxMVrCqFpdLIrQ6M8skfXhOi8gjze&athancid=null&athena=true&athbdg=L1300,Walmart
Apple iPhone 16 Pro Max (256 GB) - Titanio Blanco,Apple,"$25,499.00","$30,999.00","Ahorra $5,500.00",https://i5.walmartimages.com/asr/7d505c70-c605-4cbb-b342-5ba5aba622f4.b3e8a27e034a1325591da8ada361c05a.jpeg?odnHeight=226&odnWidth=226&odnBg=FFFFFF,https://www.walmart.com.mx/ip/destacados-celulares/apple-iphone-16-pro-max-256-gb-titanio-blanco/00019594980593?athcpid=00019594980593&athpgid=ContentPage&athcgid=null&athznid=ItemCarousel_45ab2897-6967-47da-9a17-8f6c2661fd83_items&athieid=v0&athstid=CS020&athguid=lXQfQAEyxMVrCqFpdLIrQ6M8skfXhOi8gjze&athancid=null&athena=true&athbdg=L1300,Walmart
Apple iPhone 16 Pro Max 256 GB Titanio Desierto,Apple,"$25,499.00","$30,999.00","Ahorra $5,500.00",https://i5.walmartimages.com/asr/7ba3740e-85e6-4ba1-84b4-8ce21acd2c04.d055353098f2149ae627584b9faca6c4.jpeg?odnHeight=226&odnWidth=226&odnBg=FFFFFF,https://www.walmart.com.mx/ip/destacados-celulares/apple-iphone-16-pro-max-256-gb-titanio-desierto/00019594980612?athcpid=00019594980612&athpgid=ContentPage&athcgid=null&athznid=ItemCarousel_45ab2897-6967-47da-9a17-8f6c2661fd83_items&athieid=v0&athstid=CS020&athguid=lXQfQAEyxMVrCqFpdLIrQ6M8skfXhOi8gjze&athancid=null&athena=true&athbdg=L1300,Walmart
Apple iPhone 16 Pro 128 GB Titanio Negro,Apple,"$18,999.00","$25,999.00","Ahorra $7,000.00",https://i5.walmartimages.com/asr/4d25890b-105c-472d-9e4a-ed160acc5b03.c8ec9f43433839248a3ea50de1fb9554.jpeg?odnHeight=226&odnWidth=226&odnBg=FFFFFF,https://www.walmart.com.mx/ip/destacados-celulares/apple-iphone-16-pro-128-gb-titanio-negro/00019594977113?athcpid=00019594977113&athpgid=ContentPage&athcgid=null&athznid=ItemCarousel_45ab2897-6967-47da-9a17-8f6c2661fd83_items&athieid=v0&athstid=CS020&athguid=lXQfQAEyxMVrCqFpdLIrQ6M8skfXhOi8gjze&athancid=null&athena=true&athbdg=L1300,Walmart
Apple iPhone 16E (128 GB) - Blanco,Apple,"$11,111.00","$14,999.00","Ahorra $3,888.00",https://i5.walmartimages.com/asr/83ea14c2-cc20-4e93-b0ff-c2519da1ca36.8db34a95aa4269611121e6fe36eb180b.jpeg?odnHeight=226&odnWidth=226&odnBg=FFFFFF,https://www.walmart.com.mx/ip/destacados-celulares/apple-iphone-16e-128-gb-blanco/00019595005119?athcpid=00019595005119&athpgid=ContentPage&athcgid=null&athznid=ItemCarousel_45ab2897-6967-47da-9a17-8f6c2661fd83_items&athieid=v0&athstid=CS020&athguid=lXQfQAEyxMVrCqFpdLIrQ6M8skfXhOi8gjze&athancid=null&athena=true&athbdg=L1300,Walmart
Apple iPhone 16E (128 GB) - Negro,Apple,"$11,111.00","$14,999.00","Ahorra $3,888.00",https://i5.walmartimages.com/asr/44c7f306-4226-4fa3-9a16-7bdfa1295074.84d7d7a30ad18ce5228d00e157c6ba2b.jpeg?odnHeight=226&odnWidth=226&odnBg=FFFFFF,https://www.walmart.com.mx/ip/destacados-celulares/apple-iphone-16e-128-gb-negro/00019595005111?athcpid=00019595005111&athpgid=ContentPage&athcgid=null&athznid=ItemCarousel_45ab2897-6967-47da-9a17-8f6c2661fd83_items&athieid=v0&athstid=CS020&athguid=lXQfQAEyxMVrCqFpdLIrQ6M8skfXhOi8gjze&athancid=null&athena=true&athbdg=L1300,Walmart
Smartphone Samsung Galaxy S24 Ultra 12GB RAM 256GB ROM Negro Desbloqueado,Samsung,"$16,999.00","$21,199.00","Ahorra $4,200.00",https://i5.walmartimages.com.mx/mg/gm/1p/images/product-images/img_large/00750305095047l.jpg?odnHeight=226&odnWidth=226&odnBg=FFFFFF,https://www.walmart.com.mx/ip/smartphones/smartphone-samsung-galaxy-s24-ultra-12gb-ram-256gb-rom-negro-desbloqueado/00750305095047?athcpid=00750305095047&athpgid=ContentPage&athcgid=null&athznid=ItemCarousel_70f08015-11dc-4731-b768-66ab24c4e84d_items&athieid=v0&athstid=CS020&athguid=lXQfQAEyxMVrCqFpdLIrQ6M8skfXhOi8gjze&athancid=null&athena=true&athbdg=L1300,Walmart
